Temperatura ambiente,Tarifa da energia elétrica,Concept ação 1,Concept ação 2,Concept ação 3,Concept ação 4,Concept ação 5,Concept ação 6,Concept ação 7
21.0,2.25,0.0,1.0,5.0,5.0,1.0,1.0,2.0
22.0,1.0,0.0,1.0,5.0,5.0,1.0,1.0,0.0
22.0,1.25,0.0,1.0,5.0,1.0,1.0,5.0,4.0
22.0,1.5,0.0,1.0,5.0,2.0,1.0,3.0,1.0
22.0,1.75,0.0,1.0,5.0,4.0,5.0,5.0,1.0
22.0,2.0,0.0,5.0,1.0,3.0,5.0,1.0,5.0
22.0,2.25,0.0,1.0,5.0,5.0,5.0,2.0,2.0
23.0,1.0,0.0,5.0,5.0,5.0,5.0,1.0,0.0
23.0,1.25,0.0,5.0,5.0,1.0,0.0,1.0,0.0
23.0,1.5,0.0,5.0,5.0,1.0,4.0,5.0,2.0
23.0,1.75,0.0,5.0,5.0,5.0,5.0,1.0,0.0
23.0,2.0,0.0,5.0,5.0,1.0,4.0,5.0,2.0
23.0,2.25,0.0,5.0,5.0,1.0,3.0,1.0,0.0
24.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,1.0
24.0,1.25,0.0,5.0,5.0,5.0,1.0,0.0,0.0
24.0,1.5,0.0,5.0,5.0,5.0,3.0,2.0,5.0
24.0,1.75,0.0,5.0,5.0,0.0,0.0,1.0,0.0
24.0,2.0,0.0,5.0,5.0,5.0,5.0,1.0,1.0
24.0,2.25,0.0,5.0,1.0,0.0,0.0,0.0,5.0
25.0,1.0,0.0,5.0,4.0,5.0,1.0,0.0,4.0
25.0,1.25,0.0,5.0,3.0,4.0,5.0,1.0,1.0
25.0,1.5,0.0,5.0,5.0,1.0,1.0,5.0,4.0
25.0,1.75,0.0,5.0,5.0,3.0,0.0,0.0,1.0
25.0,2.0,0.0,5.0,5.0,1.0,1.0,1.0,3.0
25.0,2.25,0.0,5.0,5.0,5.0,5.0,1.0,4.0
26.0,1.0,0.0,5.0,4.0,1.0,2.0,5.0,3.0
26.0,1.25,0.0,5.0,3.0,0.0,1.0,2.0,4.0
26.0,1.5,0.0,5.0,5.0,1.0,4.0,4.0,1.0
26.0,1.75,0.0,5.0,2.0,4.0,4.0,4.0,4.0
26.0,2.0,0.0,5.0,4.0,1.0,5.0,4.0,1.0
26.0,2.25,0.0,5.0,0.0,5.0,5.0,2.0,4.0
27.0,1.0,0.0,5.0,4.0,1.0,5.0,4.0,4.0
27.0,1.25,0.0,5.0,4.0,1.0,5.0,2.0,2.0
27.0,1.5,0.0,5.0,2.0,4.0,4.0,4.0,4.0
27.0,1.75,0.0,5.0,4.0,4.0,1.0,5.0,4.0
27.0,2.0,0.0,5.0,1.0,0.0,5.0,4.0,4.0
27.0,2.25,0.0,5.0,4.0,4.0,4.0,4.0,4.0
28.0,1.0,0.0,5.0,0.0,5.0,4.0,1.0,5.0
28.0,1.25,0.0,5.0,4.0,4.0,1.0,1.0,1.0
28.0,1.5,0.0,5.0,0.0,5.0,1.0,5.0,4.0
28.0,1.75,0.0,5.0,4.0,4.0,1.0,5.0,4.0
28.0,2.0,0.0,5.0,4.0,5.0,4.0,1.0,4.0
28.0,2.25,0.0,5.0,4.0,4.0,4.0,4.0,4.0
29.0,1.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0
29.0,1.25,0.0,5.0,5.0,4.0,4.0,3.0,0.0
29.0,1.5,0.0,5.0,4.0,4.0,4.0,4.0,4.0
29.0,1.75,0.0,5.0,4.0,1.0,4.0,4.0,4.0
29.0,2.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0
29.0,2.25,0.0,5.0,4.0,4.0,4.0,4.0,4.0
30.0,1.0,0.0,5.0,1.0,4.0,4.0,5.0,4.0
30.0,1.25,0.0,5.0,5.0,4.0,5.0,4.0,4.0
30.0,1.5,0.0,5.0,4.0,4.0,4.0,4.0,4.0
30.0,1.75,0.0,5.0,4.0,4.0,4.0,2.0,4.0
30.0,2.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0
30.0,2.25,0.0,5.0,4.0,3.0,4.0,4.0,2.0
